source,target,annotator,id,Cohesion_value,Informativeness_value,source_file,total_score
"Finn came up with a different explanation: Students cannot hide in the back of the classroom in smaller classes.
They behave better and are more involved.
He saw the change himself visiting classrooms in Buffalo, New York.
Smaller, quieter classes may have their biggest effect on kids who do not pay attention and try to avoid looking the teacher in the eye.
That's because they cannot hide.",But there was another question.,Annotator1,1-1,incohesive,,Batch1+2_Annotations.csv,
"Advertising planes tow banners that tell people about events or products to buy.
Disney had been trying to stop the ad planes for years.
Michael P. Huerta is the leader of the FAA.
Huerta told Congress that he would like to end the no-fly zones over Disney.
Defenders of the no-fly zones say the Disney parks deserve special protection.",They say the parks have a special place in people's hearts.,Annotator1,1-2,cohesive,Level_2,Batch1+2_Annotations.csv,
"In the books, teens fight against the harsh leadership of the nation Panem.
They hold up three fingers to protest against it.
The books and the movies are very popular.
Thailand was hit by protests in 2013.
Some protesters said the government was dishonest and should go.",Others said the officials were elected by the voters and should stay.,Annotator1,1-3,incohesive,,Batch1+2_Annotations.csv,
"People listen to her, said Pastor Henry Logan, who has been working with her since August.
""She does it one meal at a time.""
Last Monday, violent protests broke out again in Ferguson.
A grand jury decided not to charge the officer who shot Brown.
A grand jury is made up of a group of people.",They decide if a person should be charged with a crime.,Annotator1,1-4,incohesive,,Batch1+2_Annotations.csv,
"He wrote some harsh things about California's Native Americans.
He said they had no place in the Sierra wilderness.
Laura Pulido is a professor at USC.
""He was a man of his times,"" she said.
Many people in his time had prejudices.",They had strong feelings against people of a certain group.,Annotator1,1-5,cohesive,Level_2,Batch1+2_Annotations.csv,
"He and his team named her Lucy after a song by the Beatles.
The song played over and over the night her bones were found.
Johanson is now the head of the Institute of Human Origins at Arizona State University.
He spoke about how Lucy's discovery changed what scientists thought about early humans.
He also discussed what he hopes to find next.",Newsela has adapted the answers given by Johanson.,Annotator1,1-6,incohesive,,Batch1+2_Annotations.csv,
"About 1,177 of those were on a battleship that was sunk in the attack.
Nine of the survivors of the battleship attack are alive.
Four of them came together again in Hawaii.
Every year on the day of the attack, the men gather in Pearl Harbor.
They come to mark the event.",They come to honor the many who died that day.,Annotator1,1-7,cohesive,Level_3,Batch1+2_Annotations.csv,
"Russian reporters asked if she was taking makeup with her to space.
They also asked how she would wear her hair.
Serova ignored the makeup question.
As for her hair, she said: ""Why don't you ask the question about Alexander's hair?""
Crewmate Alexander Samokutyaev was seated next to her.",Serova sounded tired of those silly questions.,Annotator1,1-8,cohesive,Level_2,Batch1+2_Annotations.csv,
"One official said that people agreed to leave and were given plenty of time.
She said many were moved to new housing.
Others got money from the city to leave their homes, she added.
However, many deny those claims.
They say the people of Favela do Metro were given very little time to leave.",They say police did not treat them well when they were made to leave.,Annotator1,1-9,cohesive,Level_3,Batch1+2_Annotations.csv,
"Many ag-tech companies are creating technology to make farming easier.
They have built robots to cut lettuce.
They have made computer software that can figure out how much grass to grow for cows to eat.
Others companies are using technology to make products that taste like meat, cheese and eggs.
Yet they are made from plants.",The plant products can be good for the planet.,Annotator1,1-10,cohesive,Level_2,Batch1+2_Annotations.csv,
"Gross, who is 65 years old, has already been sent home.
Cuba and the United States spoke secretly for a year about freeing him.
Gross' family in Maryland said he is in bad health.
He is weak and can barely walk.
In Cuba, he had refused medical care, food and visits from American officials.",He was protesting being kept in jail.,Annotator1,1-11,cohesive,Level_3,Batch1+2_Annotations.csv,
"Ma is one of China's best known environmental experts.
He helped make the app.
Ma said the problem is that the government does not force companies to follow the law.
In China, there is no democracy.
The government is not elected by the people.",Its courts are controlled by the government.,Annotator1,1-12,cohesive,Level_3,Batch1+2_Annotations.csv,
"Many doctors and nurses are afraid of getting Ebola.
This fear is keeping many of them away.
Too few of them are coming to care for patients, the WHO said.
People who come down with Ebola run a fever.
They feel weak and have muscle pain and headaches.",The disease can cause kidney and liver failure.,Annotator1,1-13,cohesive,Level_3,Batch1+2_Annotations.csv,
"That's when I learned I was never going to write a real novel because I could not think that way.""
The Nobel Pirze is 112 years old.
Munro is the 13th female literature winner.
Munro grew up in Wingham, a traditional Canadian town west of Toronto.
She tended to write about her experience there and her life after the social revolution of the 1960s.",It was a time when people began to break free of traditional roles.,Annotator1,1-14,cohesive,Level_2,Batch1+2_Annotations.csv,
"The rash then begins to spread.
Other symptoms are fever, red eyes and a runny nose.
Measles can cause serious problems.
Measles is spread by coughing and sneezing.
It is very contagious.",One person can easily spread it to another.,Annotator1,1-15,cohesive,Level_1,Batch1+2_Annotations.csv,
"Suddenly, that has all changed.
In January, U.S. District Judge Callie Granade struck down Alabama's gay marriage ban.
The federal judge said the state ban goes against the U.S. Constitution.
The Constitution lists laws that govern the whole country.
Granade ordered that the state ban on gay marriage be removed.",Judge Granade's order was immediately challenged.,Annotator1,1-16,cohesive,Level_3,Batch1+2_Annotations.csv,
"The sisters were surprised when Pinto told them that their brother Benito might also be able to apply for deferred action.
They thought his lack of an education would limit him.
By mid-May, the sisters were well on their way to work permits and driver's licenses.
And his wife, Maria, was inspired to get her GED.
The general educational development (GED) is equal to a high school diploma.",It is for adults who were unable to finish high school.,Annotator1,1-17,cohesive,Level_3,Batch1+2_Annotations.csv,
"Shortly before the ceremony, Putin gave a heated speech.
He blamed Ukraine's new leaders for the takeover.
He called them names -- ""nationalists, Russophobes and anti-Semites.""
A Ukrainian nationalist is a patriot.
A Russophobe is anti-Russian.",An anti-Semite is someone who hates Jews.,Annotator1,1-18,cohesive,Level_3,Batch1+2_Annotations.csv,
"But saving reefs isn't only about conservation.
It's also about jobs and money.
""Without reefs, you don't have fish,"" said businessman Jeff Torode.
""Without fish, you don't have divers.""
And ""you don't have snorkelers.""",And what would no divers and snorkelers mean?,Annotator1,1-19,cohesive,Level_1,Batch1+2_Annotations.csv,
"The space she lives in is too small, they say.
They also think it is wrong to force her to perform in shows.
The government is still not sure if releasing captive whales is a good idea.
It worries about the spread of disease.
It also worries that newly released orcas will not be able to find food on their own.",There are certainly good reasons to be worried.,Annotator1,1-20,cohesive,Level_2,Batch1+2_Annotations.csv,
"Others use the tags to track turtles and marine mammals that spend time in the sun.
Marine mammals are warm-blooded creatures that live in the sea.
The overall success of solar tags is not yet know.
That's because solar tags have not been around for very long.
But so far scientists have not run into serious problems.",Companies that make and sell the new tag say more and more people are buying them.,Annotator1,1-21,cohesive,Level_2,Batch1+2_Annotations.csv,
"The violence is hurtful to the teen's family and to his memory, the governor said.
The protests are also unfair to community members.
They want ""to feel safe in their own homes,"" Nixon said.
On Sunday, U.S. Attorney General Eric Holder ordered that doctors look at Brown's body.
Holder is in charge of the federal government's Justice Department.",The doctors were supposed to figure out how Brown died.,Annotator1,1-22,cohesive,Level_3,Batch1+2_Annotations.csv,
"It hopes to become the most important encyclopedia again.
An encyclopedia has information about many different things.
It includes articles on topics like animals, science, countries and famous people.
Salesmen used to go to houses and knock on doors selling Encyclopaedia Britannica.
A set could include 32 books.","It cost a lot of money, but many people were willing to buy them.",Annotator1,1-23,cohesive,Level_2,Batch1+2_Annotations.csv,
"Steele is a scuba diver who has scooped up the animals from the seafloor since the 1970s.
He sells the urchins to sushi restaurants.
Steele heard about the sea getting more acidic.
He saw right away what it could mean for his business and the ocean he loves.
So Steele told Hofmann about the urchins.",The scientist started looking into his worries.,Annotator1,1-24,incohesive,,Batch1+2_Annotations.csv,
"Because of the Chettri sisters, women guides are normal, said Shailee Basnet.
Basnet led a Nepali women's team up Everest.
At first, few women wanted to become guides.
They didn't want to leave their homes for many days.
""Some thought it was against our culture,"" said Nicky, the youngest sister.",Dicky is the middle sister.,Annotator1,1-25,cohesive,Level_2,Batch1+2_Annotations.csv,
"Scientists found that bacteria moved slowly from floors to food.
But it depends what kind of floor it is.
Bacteria were more likely to move from tile floors to food.
Bacteria were less likely to move from carpets to food.
Other scientists also tested food from the floor.",But they say not to trust the five-second rule.,Annotator1,1-26,cohesive,Level_2,Batch1+2_Annotations.csv,
"But the Birmingham, Ala., student dreamed of going to a college anyhow.
He loved to think of new ideas that would help businesses.
He also hoped to start his own business.
College would help him learn to do those things better.
He wanted to go to school somewhere near New York City.",This is because there are many businesses in and around that city.,Annotator1,1-27,cohesive,Level_2,Batch1+2_Annotations.csv,
"He was talking about the spying programs.
People started looking at two NSA programs after Edward Snowden told reporters about what the agency was doing.
He used to do work for the NSA.
The programs had been secret.
A secret court said collecting cellphone records was allowed.","The court was set up after the Sept. 11, 2001, terror attacks on the United States.",Annotator1,1-28,cohesive,Level_2,Batch1+2_Annotations.csv,
"They are there,"" said former high school principal Beverly Hutton.
A new government study supports her claim.
It found that black students were more than three times as likely as whites to be kicked out or suspended.
And what about cases where the police were called?
More than half the time the students were black or Hispanic.",Hutton also pointed to an earlier study.,Annotator1,1-29,incohesive,,Batch1+2_Annotations.csv,
"Among them, 59 had a brother or sister with autism.
That group was at high risk of being autistic themselves.
And 51 babies who had no close relatives with autism were in the other group.
They were thought to have a lower risk of having autism.
That group was used as a control.","Experiments often have a ""control group"" to make sure that what a study finds is right.",Annotator1,1-30,cohesive,Level_3,Batch1+2_Annotations.csv,
"Hotel reservations have been made.
But there is one problem: gold.
In India, gold is worn at weddings.
But it is far more than just a nice thing to wear.
It shows a person's importance.",And it is given as a gift to show respect.,Annotator1,1-31,incohesive,,Batch1+2_Annotations.csv,
" Gay people can serve on federal juries.
A court in San Francisco became the first in the country to decide this Tuesday.
Until now, gay people could be kept off some juries just because they were gay.
A gay person is attracted to a person of his or her own sex.
The decision by the three judges on the court was unanimous.",That means that all three judges agreed.,Annotator1,1-32,cohesive,Level_3,Batch1+2_Annotations.csv,
"The reason why is complicated.
They said its genes were too much like the genes of other giraffes.
All plants and animals have genes.
They play a big part in what animals and plants look and act like.
Genes are passed down from parents.","They determine eye color, hair color, athletic ability, health and more.",Annotator1,1-33,cohesive,Level_2,Batch1+2_Annotations.csv,
"They would also be endangered by government prohibition.
The slippery slope of a possible ban doesn't stop at the state level.
The Fantasy Sports Trade Association was recently warned that popular sports fantasy leagues could be banned by this legislation as well.
Fantasy sports teams are created by choosing your favorite players from a sport like baseball and creating a made-up ""team.""
Fantasy football is very popular.","When the people who make the fantasy teams bet money that their players will score the most points, it is considered gambling.",Annotator1,1-34,cohesive,Level_2,Batch1+2_Annotations.csv,
"New Haven used to have factories where people worked.
They did not need special skills or a college education to work there.
Those factories are gone now.
New companies have come that need skilled workers with more education.
New Haven youth want those jobs, but they do not have the education or the skills.",Many do not have the money to get the training they need.,Annotator1,1-35,cohesive,Level_2,Batch1+2_Annotations.csv,
"It rocked with the sound of the college band.
And the school's Viking mascot high-fived his way across the room.
These fifth-graders are at an important turning point.
How they see see themselves "" as smart or stupid "" may decide if they go to college.
Western University wants to convince them that college is in their future.",Western University is located in Whatcom County.,Annotator1,1-36,cohesive,Level_1,Batch1+2_Annotations.csv,
"For example, they show how much sugar has been added.
And they are based on new, mostly larger serving sizes.
These reflect how people really eat.
The changes are meant to help in the fight against some serious health problems.
Among these are obesity.",An obese person is someone who is very overweight.,Annotator1,1-37,cohesive,Level_3,Batch1+2_Annotations.csv,
"However, people often drink 12-ounce cans or even larger bottles.
The new serving size for soda will have to be at least 12 ounces.
There will be an increase for some other products, such as ice cream.
""The serving sizes for many foods are a joke now,"" said Jacobson.
Look at ""the half-cup of ice cream"" or ""2-ounce muffins and bagels.""",Few people eat that little at one time.,Annotator1,1-38,cohesive,Level_1,Batch1+2_Annotations.csv,
"There will be an increase for some other products, such as ice cream.
""The serving sizes for many foods are a joke now,"" said Jacobson.
Look at ""the half-cup of ice cream"" or ""2-ounce muffins and bagels.""
Few people eat that little at one time.
Some packaged foods and drinks are usually finished all at once.",These will be scored differently on the new labels.,Annotator1,1-39,cohesive,Level_3,Batch1+2_Annotations.csv,
"The tornado destroyed two elementary schools, both with students inside.
Rescue crews swarmed into the ruins at Plaza Towers Elementary School.
There were 75 students and staff in the building when the storm struck.
Helicopters were banned from flying over the school, CNN reported.
Rescuers feared engine noise would make it hard to hear cries for help.",They raced against the setting sun to search the area while they could still see.,Annotator1,1-40,cohesive,Level_2,Batch1+2_Annotations.csv,
"Looking like another species works just fine for them.
While they avoid getting eaten, the male and the masculine-colored female are still at risk.
For a long time, biologists have studied how animals try to look like other animals.
It teaches them a lot about natural selection.
Natural selection is sometimes called ""survival of the fittest.""",It means that animals that can change will survive.,Annotator1,1-41,cohesive,Level_3,Batch1+2_Annotations.csv,
"It also spreads over two continents.
One half of Istanbul lies in Europe, while the other half sits in Asia.
The city is connected by bridges across one of the busiest waterways on the planet, the Bosporus Strait.
Istanbul is an important city for trade.
Turkey is also one of the United States' closest friends in the region.",Turkey is larger than the state of Texas.,Annotator1,1-42,cohesive,Level_2,Batch1+2_Annotations.csv,
"To reward his children, his father would bring books home.
Usually, they were used books that cost just 5 cents.
Billington is 85 years old.
Even so, he does not plan to stop working anytime soon.
He hopes to keep making it easier for people to use the library's huge collection.",Billington feels like he has a mighty mission.,Annotator1,1-43,cohesive,Level_2,Batch1+2_Annotations.csv,
"It should be able to locate the plane's black box in waters up to 20,000 feet deep.
A black box record pilots' conversations.
It also records information about the flight such as how fast it was flying.
The search team is in a race against time.
The black box's battery will last only 30 to 45 days.","After that, the signal will go silent.",Annotator1,1-44,cohesive,Level_3,Batch1+2_Annotations.csv,
" A panther in a cage was put on the ground in the middle of the forest.
Reporters and photographers watched.
The big cat crept out of the cage.
He looked around, and then ran off down a dirt road.
The panther disappeared into the forest.",Wildlife workers were setting him free.,Annotator1,1-45,cohesive,Level_3,Batch1+2_Annotations.csv,
"They were 13 and 17 at the time.
The Giron brothers left Honduras in February 2013.
They traveled in a car with a guide and five other teens ages 13 to 16.
It took the group 11 days to travel from Honduras to the United States.
They traveled all the way north through Mexico until they reached the Rio Grande River.",The river divides the United States from Mexico.,Annotator1,1-46,cohesive,Level_3,Batch1+2_Annotations.csv,
"And this country has a lot of feral cats: about 50 million.
Some people, though, say TNR is mean.
Life on the streets is hard for cats, they say.
Homeless cats are often killed by animals or cruel humans.
The cats shouldn't be put back on the streets, they say.",It would be kinder to put them to sleep instead.,Annotator1,1-47,cohesive,Level_2,Batch1+2_Annotations.csv,
"That the killings happened around these celebrations makes it ""all the more painful,"" Obama said.
Police have arrested Frazier Glenn Miller, 73.
He's believed to be the shooter.
Civil rights groups say Miller has ties to the Ku Klux Klan.
The Klan is a hate group.",It promotes the idea that white people are better than all other races.,Annotator1,1-48,cohesive,Level_3,Batch1+2_Annotations.csv,
"Deflategate has gotten a lot of attention.
Some people are talking about it even more than they are talking about Sunday's Super Bowl game.
Belichick complained that trying to explain what happened has taken up a lot of time.
Instead of preparing for the Super Bowl, he has had to answer questions about the deflated footballs.
The NFL is looking into the matter.","Like many mysteries, this one may not be solved anytime soon.",Annotator1,1-49,incohesive,,Batch1+2_Annotations.csv,
"Dogs worked closely with humans over thousands of years.
They were trained to obey.
Over time, they became very good at ""reading"" what humans are thinking and feeling.
They pick up signals from our voices, and from the way we move our bodies, hands, and eyes.
Cats, on the other hand, pretty much developed on their own.","For that reason, they aren't as tuned in to us.",Annotator1,1-50,cohesive,Level_3,Batch1+2_Annotations.csv,
"She said she would give a written report later, according to the Associated Press.
Military lawyers said that Manning is a ""traitor"" for sending the secret papers to WikiLeaks.
The Web site tries to stop governments and others from keeping secrets.
Some of the information wound up in the hands of terrorists, the military said.
Manning worked in intelligence in Iraq in 2009 and 2010.",That meant he could get to the secret information.,Annotator1,2-1,cohesive,Level_1,Batch1+2_Annotations.csv,
"Capitol was the fifth-largest, but it moved up to second place after Barnett took over.
Barnett made big changes at Capitol Records.
He picked different artists.
He signed two of the biggest acts of last year, Sam Smith and 5 Seconds of Summer.
Record companies have to sign contracts with musicians and artists to record their albums.",Then the companies sell and promote the records.,Annotator1,2-2,cohesive,Level_2,Batch1+2_Annotations.csv,
